Altium Designer Pick and Place Locations
C:\Users\kienlt44\Desktop\Project VinMotion\VinMotion\VinMotion\Low_level_NXP 3\Low_level_NXP\Low_level_NXP\#NAME_.csv

========================================================================================================================
File Design Information:

Date:       29/09/25
Time:       16:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C6044","0402YC104KAT2A","BottomLayer","CAP0402","64.5215","60.9801","90","CAP CER 0.1UF 16V X7R 0402"
"C6043","0402YC104KAT2A","BottomLayer","CAP0402","64.5619","68.0253","270","CAP CER 0.1UF 16V X7R 0402"
"C6042","0402YC104KAT2A","BottomLayer","CAP0402","67.5337","68.0253","270","CAP CER 0.1UF 16V X7R 0402"
"C6041","0402YC104KAT2A","BottomLayer","CAP0402","69.5253","62.7653","180","CAP CER 0.1UF 16V X7R 0402"
"C6040","0402YC104KAT2A","BottomLayer","CAP0402","69.1189","60.9619","90","CAP CER 0.1UF 16V X7R 0402"
"C6039","0402YC104KAT2A","BottomLayer","CAP0402","63.8357","57.1845","270","CAP CER 0.1UF 16V X7R 0402"
"C6038","0402YC104KAT2A","BottomLayer","CAP0402","62.7689","57.1773","270","CAP CER 0.1UF 16V X7R 0402"
"C6037","GRM21BR61E226ME44K","BottomLayer","CAP0805","73.9703","62.7907","0","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C6036","0402YC104KAT2A","BottomLayer","CAP0402","73.1249","66.8547","0","CAP CER 0.1UF 16V X7R 0402"
"C6035","0402YC104KAT2A","BottomLayer","CAP0402","73.2591","64.2639","0","CAP CER 0.1UF 16V X7R 0402"
"C6034","0402YC104KAT2A","TopLayer","CAP0402","58.7485","68.2517","180","CAP CER 0.1UF 16V X7R 0402"
"C6033","0402YC104KAT2A","BottomLayer","CAP0402","62.9363","64.6399","0","CAP CER 0.1UF 16V X7R 0402"
"C6032","0402YC104KAT2A","BottomLayer","CAP0402","73.1321","68.5311","0","CAP CER 0.1UF 16V X7R 0402"
"C6031","0402YC104KAT2A","BottomLayer","CAP0402","67.8489","72.0109","90","CAP CER 0.1UF 16V X7R 0402"
"C6030","0402YC104KAT2A","TopLayer","CAP0402","65.0699","72.0313","90","CAP CER 0.1UF 16V X7R 0402"
"C6029","GRM21BR61E226ME44K","BottomLayer","CAP0805","59.8375","66.8243","180","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C6028","0402YC104KAT2A","TopLayer","CAP0402","64.1405","56.9487","270","CAP CER 0.1UF 16V X7R 0402"
"C6027","0402YC104KAT2A","TopLayer","CAP0402","73.5893","61.4699","0","CAP CER 0.1UF 16V X7R 0402"
"C4031","CL10B472KB8WPNC","TopLayer","CAP0603","90.2667","18.3611","90","CAP CER 4700PF 50V X7R 0603"
"C4030","CL10B472KB8WPNC","TopLayer","CAP0603","99.9695","18.2849","90","CAP CER 4700PF 50V X7R 0603"
"C4029","0402YC104KAT2A","TopLayer","CAP0402","83.1801","18.4767","90","CAP CER 0.1UF 16V X7R 0402"
"C4028","0402YC104KAT2A","TopLayer","CAP0402","86.4059","24.8381","0","CAP CER 0.1UF 16V X7R 0402"
"C4027","GRT188C81C475KE13D","TopLayer","CAP0603","86.3805","26.1335","0","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C4026","0402YC104KAT2A","TopLayer","CAP0402","92.7051","18.4767","90","CAP CER 0.1UF 16V X7R 0402"
"C4025","0402YC104KAT2A","TopLayer","CAP0402","96.2103","24.8381","0","CAP CER 0.1UF 16V X7R 0402"
"C4024","GRT188C81C475KE13D","TopLayer","CAP0603","96.2357","26.1335","0","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C3029","GCM1555C1H100JA16D","BottomLayer","CAP0402","51.8873","57.8327","180","CAP CER 10pF 50V 5% C0G 0402 SMD"
"C3028","GCM1555C1H100JA16D","BottomLayer","CAP0402","49.2965","57.8073","0","CAP CER 10pF 50V 5% C0G 0402 SMD"
"C3027","GCM155R71C224KE02D","BottomLayer","CAP0402","58.2373","44.4215","0","CAP CER 0.22UF 16V X7R 0402"
"C3026","GCM155R71C224KE02D","TopLayer","CAP0402","44.8261","46.2503","180","CAP CER 0.22UF 16V X7R 0402"
"C3025","GCM155R71C224KE02D","TopLayer","CAP0402","48.5345","46.5805","90","CAP CER 0.22UF 16V X7R 0402"
"C3024","GCM155R71C224KE02D","BottomLayer","CAP0402","59.2025","49.5523","0","CAP CER 0.22UF 16V X7R 0402"
"C3023","GCM155R71C224KE02D","BottomLayer","CAP0402","58.2373","43.3547","0","CAP CER 0.22UF 16V X7R 0402"
"C3022","GCM155R71C224KE02D","BottomLayer","CAP0402","41.2955","39.3923","180","CAP CER 0.22UF 16V X7R 0402"
"C3021","CL10A106MP8NNNC","BottomLayer","CAP0603","40.8129","40.6623","180","CAP CER 10uF 10V X5R 0603"
"C3020","GCM155R71C224KE02D","TopLayer","CAP0402","55.2909","43.8119","0","CAP CER 0.22UF 16V X7R 0402"
"C3019","GCM155R71C224KE02D","TopLayer","CAP0402","55.3925","45.4375","0","CAP CER 0.22UF 16V X7R 0402"
"C1043","GRT188C81C475KE13D","TopLayer","CAP0603","9.1391","63.9541","180","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C1042","GRT188C81C475KE13D","TopLayer","CAP0603","11.7807","60.6775","270","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C1041","UMK105B7102KVHF","BottomLayer","CAP0402","14.2953","68.8563","0","CAP CER 1nF 50V 10% X7R 0402 SMD"
"C1040","GCM21BR71E225KA73L","TopLayer","CAP0805","8.7581","69.9231","180","CAP CER 2.2UF 25V X7R 0805"
"C1039","UMK105B7102KVHF","BottomLayer","CAP0402","8.7581","75.0031","180","CAP CER 1nF 50V 10% X7R 0402 SMD"
"C1038","GCM21BR71E225KA73L","TopLayer","CAP0805","8.7581","71.8281","180","CAP CER 2.2UF 25V X7R 0805"
"C1037","CGA3E1X7R1C105K080AC","BottomLayer","CAP0603","14.6001","66.4941","0","CAP CER 1uF 16V X7R 0603"
"C1036","GCM21BR71E225KA73L","TopLayer","CAP0805","8.7581","66.0877","180","CAP CER 2.2UF 25V X7R 0805"
"C1035","CGA3E1X7R1C105K080AC","TopLayer","CAP0603","8.8597","67.7641","180","CAP CER 1uF 16V X7R 0603"
"C1034","0402YC104KAT2A","TopLayer","CAP0402","20.1373","59.8139","270","CAP CER 0.1UF 16V X7R 0402"
"C1033","0402YC104KAT2A","TopLayer","CAP0402","30.6529","67.7133","270","CAP CER 0.1UF 16V X7R 0402"
"C1032","GRM21BR61E226ME44K","TopLayer","CAP0805","29.7893","71.2439","90","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C1031","GRM21BR61E226ME44K","TopLayer","CAP0805","31.6943","71.2439","90","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C1030","UMK105B7473KVHF","TopLayer","CAP0402","26.1317","68.9071","0","CAP CER 0.047UF 50V X7R 0402"
"C1029","GRM21BZ71C106KE15L","TopLayer","CAP0805","27.3255","71.1677","90","CAP CER 10UF 16V X7R 0805"
"C1028","0402YC104KAT2A","TopLayer","CAP0402","25.8269","80.1411","90","CAP CER 0.1UF 16V X7R 0402"
"C1027","GRM21BR61E226ME44K","TopLayer","CAP0805","29.0273","79.4481","90","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C1026","GRM21BR61E226ME44K","TopLayer","CAP0805","27.2239","79.4481","90","CAP CER 22uF 25V 20% X5R 0805 SMD"
"C1025","0402YC104KAT2A","TopLayer","CAP0402","23.4139","59.8139","270","CAP CER 0.1UF 16V X7R 0402"
"C1024","CGA3E1X7R1C105K080AC","TopLayer","CAP0603","24.7093","59.4075","270","CAP CER 1uF 16V X7R 0603"
"C1023","GCM155R71H223KA55D","TopLayer","CAP0402","20.2389","74.5205","180","CAP CER 0.022UF 50V X7R 0402"
"C1022","GRT188C81C475KE13D","TopLayer","CAP0603","25.7253","72.9711","270","CAP CER 4.7uF 16V 10% X6S 0603 SMD"
"C1021","CL10B104KB8WPNC","TopLayer","CAP0603","17.6481","74.6221","180","CAP CER 0.1UF 50V X7R 0603"
"C1020","GCM31CC71E106KA03L","TopLayer","CAP1206","16.8861","76.5271","180","CAP CER 10UF 25V X7S 1206"
"C1019","CC0603KRX7R0BB104","TopLayer","CAP0603","29.0527","63.8525","270","CAP CER 0.1UF 100V X7R 0603"
"C1018","CL10A105KB8NNNC","TopLayer","CAP0603","13.2031","75.9429","90","CAP CER 1UF 50V X5R 0603"
"C1017","CGA3E1X7R1C105K080AC","TopLayer","CAP0603","22.7789","56.5627","270","CAP CER 1uF 16V X7R 0603"
"C1016","CC0603KRX7R0BB104","TopLayer","CAP0603","5.6339","82.9787","270","CAP CER 0.1UF 100V X7R 0603"
"C1015","C3225X7R2A106K250AC","TopLayer","CAP1210","3.2463","84.0201","270","CAP CER 10UF 100V X7R 1210"
"C1014","CC0603KRX7R0BB104","TopLayer","CAP0603","4.1861","88.3763","270","CAP CER 0.1UF 100V X7R 0603"
"CN7001","12402012E212A","TopLayer","USB_TYPE_C","104.8538","11.0312","90","CONN RCP USB2.0 TYP C 24P SMD RA"
"CN7000","RECE.20279.001E.01","TopLayer","IPEX_CONNECTOR","103.0913","34.0093","90","CONN UMC RCPT STR 50 OHM SMD"
"R6014","CRCW0402220RFKED","BottomLayer","RES0402","84.3993","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R6013","CRCW0402220RFKED","BottomLayer","RES0402","91.1811","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R3003","RMCF0402FT10K0","TopLayer","RES0402","37.7395","55.6991","90","RES 10K OHM 1% 1/16W 0402"
"R3000","RMCF0402FT10K0","TopLayer","RES0402","5.6847","71.9805","270","RES 10K OHM 1% 1/16W 0402"
"C6026","0402YC104KAT2A","TopLayer","CAP0402","59.5939","58.2949","270","CAP CER 0.1UF 16V X7R 0402"
"C6025","GRM21BR61E226ME44K","TopLayer","CAP0805","58.1207","57.5837","270","CAP CER 22uF 25V 20% X5R 0805 SMD"
"CN7002","3DM-CV7-AHRS","TopLayer","3DM-CV7-AHRS","45.0036","39.1637","90","IMUs - Inertial Measurement Units High Performance OEM IMU/AHRS"
"Y7000","CX2016DB40000D0FLJCC","TopLayer","CRYSTAL2016","94.5744","34.3676","135","CRYSTAL 40.0000MHZ 8PF SMD"
"CN5005","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","4.9494","28.8000","90","CONN HEADER SMD R/A 2POS 2MM"
"CN5004","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","4.9533","19.6789","90","CONN HEADER SMD R/A 2POS 2MM"
"CN5003","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","4.9494","10.5578","90","CONN HEADER SMD R/A 2POS 2MM"
"CN5002","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","4.9494","47.0422","90","CONN HEADER SMD R/A 2POS 2MM"
"CN5001","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","4.9494","37.9211","90","CONN HEADER SMD R/A 2POS 2MM"
"CN4006","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","57.8713","4.9961","180","CONN HEADER SMD R/A 2POS 2MM"
"CN4005","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","67.4722","4.9961","180","CONN HEADER SMD R/A 2POS 2MM"
"CN4004","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","77.0731","4.9961","180","CONN HEADER SMD R/A 2POS 2MM"
"CN4002","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","96.2751","4.9961","180","CONN HEADER SMD R/A 2POS 2MM"
"CN4001","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","29.0687","4.9961","180","CONN HEADER SMD R/A 2POS 2MM"
"CN1000","XT30","TopLayer","XT30","25.6163","102.0021","0","XT30 CONNECTOR"
"ANT7000","PCB ANTENNA","TopLayer","ANTENNA_2.4G","104.6517","33.9143","270","PCB ANTENNA 2.4G"
"U7001","W25Q80DVSSIG","TopLayer","SOIC127P800X216-8N","84.2425","30.9037","180","IC FLASH 8MBIT SPI/QUAD 8SOIC"
"U7000","ESP32-S3","TopLayer","56-VFQFN_Exposed_Pad","92.9113","40.7343","180","IC RF TXRX+MCU BLE 56QFN"
"R7019","MCR01MZPF5101","BottomLayer","RES0402","36.0377","105.0513","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R7018","MCR01MZPF5101","BottomLayer","RES0402","39.0349","105.0513","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R7017","RMCF0402FT4K70","TopLayer","RES0402","70.1965","39.2226","0","RES 4.7kR 1/16W 1% 0402 SMD"
"R7016","RMCF0402FT4K70","TopLayer","RES0402","68.1535","39.2226","180","RES 4.7kR 1/16W 1% 0402 SMD"
"R7015","AC1206JR-070RL","TopLayer","RES1206","33.7517","100.1999","180","RES 0R 1/4W 5% 1206 SMD"
"R7014","RMCF0402FT10K0","TopLayer","RES0402","90.1767","31.7177","90","RES 10K OHM 1% 1/16W 0402"
"R7013","RMCF0402ZT0R00","TopLayer","RES0402","88.4731","35.2545","90","RES 0R 1/16W 1% 0402 SMD"
"R7012","RMCF0402ZT0R00","TopLayer","RES0402","87.4481","35.2545","90","RES 0R 1/16W 1% 0402 SMD"
"R7011","RMCF0402ZT0R00","TopLayer","RES0402","86.4231","35.2545","90","RES 0R 1/16W 1% 0402 SMD"
"R7010","RMCF0402ZT0R00","TopLayer","RES0402","85.2203","35.2545","90","RES 0R 1/16W 1% 0402 SMD"
"R7008","RMCF0402FT10K0","TopLayer","RES0402","92.2479","31.7143","90","RES 10K OHM 1% 1/16W 0402"
"R7007","RMCF0402FT10K0","TopLayer","RES0402","100.3303","44.1343","180","RES 10K OHM 1% 1/16W 0402"
"R7009","RMCF0402ZT0R00","TopLayer","RES0402","84.1961","35.2521","90","RES 0R 1/16W 1% 0402 SMD"
"R7006","CRCW0402499RFKED","TopLayer","RES0402","102.7453","46.9107","0","RES SMD 499 OHM 1% 1/16W 0402"
"R7004","RMCF0402FT10K0","TopLayer","RES0402","91.2479","31.7143","270","RES 10K OHM 1% 1/16W 0402"
"R7003","RMCF0402FT10K0","TopLayer","RES0402","100.3303","45.1343","0","RES 10K OHM 1% 1/16W 0402"
"R7002","MCR01MZPF5101","TopLayer","RES0402","100.1727","12.7985","0","RES SMD 5.1K OHM 1% 1/16W 0402"
"R7001","MCR01MZPF5101","TopLayer","RES0402","100.1799","9.8267","0","RES SMD 5.1K OHM 1% 1/16W 0402"
"R7000","RMCF0402FT10K0","TopLayer","RES0402","100.3303","43.0343","0","RES 10K OHM 1% 1/16W 0402"
"R6022","RMCF0402FT10K0","TopLayer","RES0402","68.3465","56.9183","90","RES 10K OHM 1% 1/16W 0402"
"R6021","RMCF0402ZT0R00","TopLayer","RES0402","75.2729","62.4605","180","RES 0R 1/16W 1% 0402 SMD"
"R6020","RMCF0402ZT0R00","TopLayer","RES0402","76.6191","60.7841","180","RES 0R 1/16W 1% 0402 SMD"
"R6019","RMCF0402FT10K0","TopLayer","RES0402","73.5535","59.7377","0","RES 10K OHM 1% 1/16W 0402"
"R6018","AC0402FR-07200RL","TopLayer","RES0402","66.3503","53.7157","90","RES SMD 200 OHM 1% 1/16W 0402"
"L7000","LQP03TN2N0B02D","TopLayer","IND0201","99.1993","36.4343","180","FIXED IND 2NH 600MA 150 MOHM SMD"
"FB7000","BLM18KG121TH1D","TopLayer","FB0603","100.3303","40.7343","0","FERRITE BEAD 120 OHM 0603 1LN"
"C7018","0402YC104KAT2A","TopLayer","CAP0402","70.4323","34.0918","270","CAP CER 0.1UF 16V X7R 0402"
"C7017","0402YC104KAT2A","TopLayer","CAP0402","68.7813","34.0664","270","CAP CER 0.1UF 16V X7R 0402"
"C7016","0402YC104KAT2A","TopLayer","CAP0402","83.7925","27.3037","0","CAP CER 0.1UF 16V X7R 0402"
"C7015","UMK105CG100DVHF","TopLayer","CAP0402","93.3909","33.2201","315","CAP CER 10pF 50V NP0 0402"
"C7014","CL05X105KP5NNNC","TopLayer","CAP0402","87.0801","44.0796","90","CAP CER 1UF 10V X6S 0402"
"C7013","0402YC104KAT2A","TopLayer","CAP0402","88.0700","44.0796","90","CAP CER 0.1UF 16V X7R 0402"
"C7012","GRM0335C1H1R0BA01D","TopLayer","CAP0201","98.3683","36.7153","90","CAP CER 1PF 50V C0G/NP0 0201"
"C7011","GRM0335C1H1R0BA01D","TopLayer","CAP0201","100.0183","36.7153","90","CAP CER 1PF 50V C0G/NP0 0201"
"C7010","CL05X105KP5NNNC","TopLayer","CAP0402","99.1541","34.6105","270","CAP CER 1UF 10V X6S 0402"
"C7009","0402YC104KAT2A","TopLayer","CAP0402","98.1541","34.6105","270","CAP CER 0.1UF 16V X7R 0402"
"C7008","0402YC104KAT2A","TopLayer","CAP0402","97.1541","34.6105","270","CAP CER 0.1UF 16V X7R 0402"
"C7007","0402YC104KAT2A","TopLayer","CAP0402","91.5367","35.2267","270","CAP CER 0.1UF 16V X7R 0402"
"C7006","0402YC104KAT2A","TopLayer","CAP0402","93.4163","46.2503","90","CAP CER 0.1UF 16V X7R 0402"
"C7005","CL31B106KOHVPNE","TopLayer","CAP1206","102.5703","39.1343","270","CAP CER 10uF 16V 10% X7R 1206 SMD"
"C7004","CL05X105KP5NNNC","TopLayer","CAP0402","101.1903","39.1343","270","CAP CER 1UF 10V X6S 0402"
"C7003","0402YC104KAT2A","TopLayer","CAP0402","100.1603","39.0443","270","CAP CER 0.1UF 16V X7R 0402"
"C7002","0402YC104KAT2A","TopLayer","CAP0402","99.1603","39.0443","270","CAP CER 0.1UF 16V X7R 0402"
"C7001","UMK105CG100DVHF","TopLayer","CAP0402","95.7785","32.9915","225","CAP CER 10pF 50V NP0 0402"
"C7000","CL05X105KP5NNNC","TopLayer","CAP0402","100.3303","41.9343","0","CAP CER 1UF 10V X6S 0402"
"FB6003","BLM18KG121TH1D","BottomLayer","FB0603","59.8121","56.7659","270","FERRITE BEAD 120 OHM 0603 1LN"
"FB6002","BLM18KG121TH1D","BottomLayer","FB0603","73.6655","61.2413","0","FERRITE BEAD 120 OHM 0603 1LN"
"FB6001","BLM18KG121TH1D","BottomLayer","FB0603","60.1301","68.3737","180","FERRITE BEAD 120 OHM 0603 1LN"
"FB6000","BLM18KG121TH1D","TopLayer","FB0603","56.5459","57.2921","90","FERRITE BEAD 120 OHM 0603 1LN"
"R4011","RMCF1206FT60R4","TopLayer","RES1206","55.4560","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4010","RMCF1206FT60R4","TopLayer","RES1206","26.6651","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4009","RMCF1206FT60R4","TopLayer","RES1206","60.1042","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4008","RMCF1206FT60R4","TopLayer","RES1206","31.3133","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4007","RMCF1206FT60R4","TopLayer","RES1206","65.0530","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4006","RMCF1206FT60R4","TopLayer","RES1206","36.2621","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4005","RMCF1206FT60R4","TopLayer","RES1206","69.7012","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4004","RMCF1206FT60R4","TopLayer","RES1206","40.9103","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4003","RMCF1206FT60R4","TopLayer","RES1206","74.6500","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4001","RMCF1206FT60R4","TopLayer","RES1206","79.2982","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4000","RMCF1206FT60R4","TopLayer","RES1206","50.5073","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"R4002","RMCF1206FT60R4","TopLayer","RES1206","45.8591","15.0845","0","RES 60.4R 1/4W 1% 1206 SMD"
"D4005","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","57.8563","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"D4004","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","29.0781","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"D4003","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","67.4491","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"D4002","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","38.6709","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"D4001","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","77.0418","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"D4000","PESD2CAN,215","TopLayer","NEXPERIA_PESD2CAN,215_N","48.2636","11.9603","90","DIODE TVS 24VWM 41VC SOT-23-3"
"C4023","CL10B472KB8WPNC","TopLayer","CAP0603","61.5393","18.3103","90","CAP CER 4700PF 50V X7R 0603"
"C4022","CL10B472KB8WPNC","TopLayer","CAP0603","32.9135","18.3483","90","CAP CER 4700PF 50V X7R 0603"
"C4015","CL10B472KB8WPNC","TopLayer","CAP0603","71.0897","18.3103","90","CAP CER 4700PF 50V X7R 0603"
"C4014","CL10B472KB8WPNC","TopLayer","CAP0603","42.3369","18.3357","90","CAP CER 4700PF 50V X7R 0603"
"C4007","CL10B472KB8WPNC","TopLayer","CAP0603","80.7925","18.3357","90","CAP CER 4700PF 50V X7R 0603"
"C4006","CL10B472KB8WPNC","TopLayer","CAP0603","51.8873","18.2849","90","CAP CER 4700PF 50V X7R 0603"
"U1000","LM5013DDAR","TopLayer","SOIC-8","23.9523","85.8943","0","IC REG BUCK ADJ 3.5A 8SOPWR"
"Y6000","NX3225SA-25.000M-STD-CRS-2","TopLayer","NDK_NX3225SA-25.000M-STD-CRS-2_R","75.1641","69.3693","90","CRYSTAL 25.0000MHZ 8PF SMD"
"Y3001","AA-16.000MALE-T","BottomLayer","CRYSTAL5032","50.5317","55.1911","180","CRYSTAL 16.0000MHZ 12PF SMD"
"Y3000","ABS07AIG-32.768KHZ-9-1-T","BottomLayer","CRYSTAL3215","44.8515","55.5721","180","CRYSTAL 32.768KHZ 9PF SMD"
"U5005","SN65HVD3082EDR","TopLayer","SOIC127P590X175-8N","16.7747","28.7857","180","IC TRANSCEIVER HALF 1/1 8SOIC"
"U5004","SN65HVD3082EDR","TopLayer","SOIC127P590X175-8N","16.7747","45.6139","180","IC TRANSCEIVER HALF 1/1 8SOIC"
"U5003","SN65HVD3082EDR","TopLayer","SOIC127P590X175-8N","16.8255","19.9891","180","IC TRANSCEIVER HALF 1/1 8SOIC"
"U5002","SN65HVD3082EDR","TopLayer","SOIC127P590X175-8N","16.8255","37.5967","180","IC TRANSCEIVER HALF 1/1 8SOIC"
"U5001","SN65HVD3082EDR","TopLayer","SOIC127P590X175-8N","16.7591","10.6649","180","IC TRANSCEIVER HALF 1/1 8SOIC"
"U5000","SN65HVD3082EDR","TopLayer","SOIC127P590X175-8N","16.7591","52.9559","180","IC TRANSCEIVER HALF 1/1 8SOIC"
"U4005","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","57.7260","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U4004","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","28.9445","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U4003","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","67.3199","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U4002","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","38.5384","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U4001","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","76.9137","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U4000","TJA1057GT/3J","TopLayer","SOIC127P590X175-8N","48.1322","20.4767","270","1/1 Transceiver Half CANbus 8-SO"
"U3000","S32K388HHT0MJBSR","BottomLayer","BGA289C80P17X17_1400X1400X152","49.7159","43.4691","270","ARM® Cortex®-M7F S32K3 Microcontroller IC 32-Bit 5-Core 320MHz 8MB (8M x 8) FLASH 289-LFBGA (14x14)"
"U2001","TLV75733PDYDR","TopLayer","SOT-23-5_with_EPAD","47.3153","72.6663","0","IC REG LINEAR 3.3V 1A SOT23-5"
"U2000","TPS563257DRLR","TopLayer","SOT-563","39.4161","78.4575","0","IC REG BUCK ADJ 3A SOT563"
"U1001","MFS2633AMDALAD","TopLayer","48-LQFP_Exposed_Pad(7x7)","18.1561","68.1959","0","SAFETY SYSTEM BASIS CHIP WITH LO"
"SW3000","FSM2JSMA","TopLayer","TE_FSM2JSMASTR_R","44.4197","55.7499","180","SWITCH TACTILE SPST-NO 0.05A 24V"
"R6017","RMCF0402FT10K0","TopLayer","RES0402","78.2525","61.2871","90","RES 10K OHM 1% 1/16W 0402"
"R6016","RC0603JR-07330RL","TopLayer","RES0603","108.2499","90.5225","270","RES 330 OHM 5% 1/10W 0603"
"R6015","CRCW0402220RFKED","BottomLayer","RES0402","98.4455","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R6012","CRCW0402220RFKED","BottomLayer","RES0402","77.3889","75.5111","270","RES SMD 220 OHM 1% 1/10W 0402"
"R6011","CRCW040222R0JNED","TopLayer","RES0402","63.0229","55.4501","90","RES SMD 22 OHM 5% 1/16W 0402"
"R6010","CRCW040222R0JNED","TopLayer","RES0402","62.0069","55.4501","90","RES SMD 22 OHM 5% 1/16W 0402"
"R6009","CRCW040222R0JNED","TopLayer","RES0402","60.6607","55.4501","90","RES SMD 22 OHM 5% 1/16W 0402"
"R6008","CRCW040222R0JNED","TopLayer","RES0402","59.6447","55.4501","90","RES SMD 22 OHM 5% 1/16W 0402"
"R6007","RMCF0402ZT0R00","TopLayer","RES0402","54.0749","58.1425","0","RES 0R 1/16W 1% 0402 SMD"
"R6006","CRCW040222R0JNED","TopLayer","RES0402","54.0749","59.1585","0","RES SMD 22 OHM 5% 1/16W 0402"
"R6005","CRCW040222R0JNED","TopLayer","RES0402","54.0749","60.5555","0","RES SMD 22 OHM 5% 1/16W 0402"
"R6004","CRCW040222R0JNED","TopLayer","RES0402","54.0749","61.5715","0","RES SMD 22 OHM 5% 1/16W 0402"
"R6003","CRCW040222R0JNED","TopLayer","RES0402","54.0749","63.0193","0","RES SMD 22 OHM 5% 1/16W 0402"
"R6002","CRCW040222R0JNED","TopLayer","RES0402","54.0749","64.0353","0","RES SMD 22 OHM 5% 1/16W 0402"
"R6001","RMCF0402ZT0R00","TopLayer","RES0402","54.0749","65.4577","0","RES 0R 1/16W 1% 0402 SMD"
"R6000","CRCW040222R0JNED","TopLayer","RES0402","54.0749","66.4737","0","RES SMD 22 OHM 5% 1/16W 0402"
"R5011","ERJ2GEJ103X","TopLayer","RES0402","21.3057","28.7497","270","RES SMD 10K OHM 5% 1/10W 0402"
"R5010","ERJ2GEJ103X","TopLayer","RES0402","21.3057","45.5319","270","RES SMD 10K OHM 5% 1/10W 0402"
"R5009","ERJ-P06J121V","TopLayer","RES0805","11.9331","28.7497","270","RES SMD 120 OHM 5% 1/2W 0805"
"R5008","ERJ-P06J121V","TopLayer","RES0805","11.9331","45.6005","270","RES SMD 120 OHM 5% 1/2W 0805"
"R5007","ERJ2GEJ103X","TopLayer","RES0402","21.3565","19.8851","270","RES SMD 10K OHM 5% 1/10W 0402"
"R5006","ERJ2GEJ103X","TopLayer","RES0402","21.4835","37.5127","270","RES SMD 10K OHM 5% 1/10W 0402"
